field,location,year,loc_year,planted,panel,genotype,continent,elevation,STD,EMD,GER,ELN,EPH,PH,P_INT,P_EXT,P_PAT,M_DEN,M_PAT,DTS,DTA,TBN,TL,PE,EH,EN,CE_20_3,DG_34_2,DG_36_4,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3,PC_32_0,PC_32_1,PC_32_2,PC_33_2,PC_34_1,PC_34_2,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_35_3,PC_36_2,PC_37_3,PC_38_2,PC36_1,PE_34_2,SM_D32_1,SM_D36_1,TG_46_0,TG_46_3,TG_48_0,TG_48_1,TG_48_2,TG_48_3,TG_50_0,TG_50_1,TG_50_2,TG_50_3,TG_50_4,TG_50_5,TG_52_0,TG_52_1,TG_52_2,TG_52_3,TG_52_4,TG_52_5,TG_52_6,TG_54_1,TG_54_2,TG_54_3,TG_54_4,TG_54_5,TG_54_6,TG_54_8,TG_56_4
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012440,SA,High,6,64,8,5,55,235,1,100,1.5,1,0.5,138,135,20,43.5,6,125,2,NA,53868,20058,115534,21843,179065,4315630,880868,42103,1610,2282,150928,64843,1048122,306668,5582,NA,45796,109701,41147,NA,3375,3266,68667,9863,NA,NA,23239,10275,NA,NA,18152,NA,25135,305556,168775,25986,43041,NA,NA,65464,147760,1206121,1492211,605121,NA,NA,27420,102641,243230,NA,NA,14075
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-018635,SA,High,8.5,64,9.5,4.5,105,203.75,2.25,87.5,2.75,1.5,1.75,113.5,111.5,15.5,43.5,8,98.5,1.5,NA,16326,4915,130172,13229,212346,3232614,1641001,16164,5278,8365,39710,206814,2277144,1092873,15012,NA,22916,32808,101928,NA,5250,9909,47804,2702,NA,NA,1257,5147,NA,NA,1590,NA,10440,70086,66130,4902,6404,NA,NA,17964,33832,233242,407796,254436,NA,NA,8720,23156,61048,NA,NA,4534
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-021797,SA,High,7,64,8,5,77,230,2,100,3,2,1,128,127,16.5,30,7,152.5,2,NA,46049,14842,189689,20920,218098,2980886,1598618,21829,1398,2181,53411,120372,1531327,974857,17237,NA,28909,99133,46076,NA,1957,2702,92621,3215,NA,NA,2105,3225,NA,NA,3228,NA,16457,142927,156184,12430,11257,NA,NA,30667,71856,670826,1414756,1158725,NA,NA,16069,45514,148339,NA,NA,5775
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-015086,SA,Low,5,64,8,3,36,160,2,50,2,2,1,139,135,29,36,5,125,2,NA,21110,12190,68579,22695,454619,4087476,1268048,19736,2768,3285,119762,182652,1814531,902959,12201,NA,27646,39049,53117,NA,3011,11369,32093,4349,NA,NA,13999,10535,NA,NA,12475,NA,24596,156530,117506,9813,20079,NA,NA,41799,78998,392205,518840,307099,NA,NA,21144,45326,97321,NA,NA,9527
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-026714,SA,Low,6,64,8,5,44,200,1.5,62.5,2,2.5,1,152.5,136,23,37,6,113.5,1,NA,19864,4808,112961,21186,181248,3736378,1257656,40278,2737,10154,41312,64440,1640403,997072,10246,NA,31756,29990,95882,NA,2466,6754,54255,3088,NA,NA,4740,3899,NA,NA,5052,NA,8407,151440,150267,14953,21309,NA,NA,47398,76378,532692,914486,591995,NA,NA,8352,73512,182926,NA,NA,14284
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-025041,Mex,Low,9.5,64,9.5,4,54.5,248.75,1.5,50,2,2.5,1,157,154.5,20.5,41,9,191,1,1193,68727,31434,65832,8684,181438,4448455,1017268,37524,8010,16710,16494,106282,2551768,1246264,15124,NA,40575,36456,81318,NA,5880,5437,166868,2818,NA,4783,7281,2010,NA,NA,6648,NA,9702,91606,40287,8786,14248,NA,NA,16762,46920,393262,584508,310203,NA,2142,7908,35398,82688,387758,406530,5160
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-007294,Mex,Low,9.5,64,10,6,64,172.5,1,62.5,2,1.5,0.5,113.5,111.5,11.5,38,9.5,72.5,1.5,802,64016,32079,49937,4993,96149,3908428,1176784,32366,6710,16238,19045,88776,3581378,1593112,14400,NA,32194,28318,50276,NA,6842,5247,234050,3676,NA,4464,1767,2506,NA,NA,1479,NA,9914,110006,45273,1752,9329,NA,NA,15744,39236,347332,541394,336692,NA,2620,7170,28440,71142,354382,396116,1507
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012290,SA,High,7,64,7,4.5,75.5,267.5,2,87.5,2.5,2,1,138.5,136.5,16.75,39.5,7,163.75,2,NA,29464,11433,68656,12525,80094,2420090,1285284,56008,13061,8678,46766,220657,2880932,1902450,15392,NA,41284,57956,183392,12594,14462,24931,213076,6890,84909,NA,1719,24955,6604,4777,2054,33893,23158,52171,37815,8904,6572,26362,11245,31472,43722,354800,859007,364046,NA,6920,18368,36003,94121,NA,NA,6291
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-012085,SA,High,9,64,9.5,5.5,83,252.5,2,100,2,0,0,133.5,132,23,43.25,9,192.5,1.5,NA,53431,10856,87535,28494,375954,5577022,2370212,29943,2530,9298,25761,189024,3116740,1506814,23210,3885,33103,48264,80002,11761,6078,10893,56500,3095,NA,NA,1763,5406,2465,NA,1904,3261,7438,48616,35160,6038,15777,NA,2738,14309,23658,207628,339774,137765,1999,2005,9950,18846,42754,NA,NA,1748
Highland,MT,2016,MT2016,4/5/16,RUNCIE,CIMMYTMA-014383,SA,Low,7.5,64,7.5,4.5,50.5,216,2.5,87.5,2,2.5,1,148,146,17,40.5,7.5,163.5,2,NA,25679,9895,100160,11940,274029,3579501,1021949,21060,5952,9953,46410,126688,2217188,993189,13100,NA,34068,41168,62790,NA,2505,6584,110698,2756,NA,NA,8465,2876,NA,NA,6548,NA,22349,135236,86996,10066,17364,NA,NA,41392,77016,406834,531218,286501,NA,NA,16794,43848,94274,NA,NA,8350
